City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,kahului,20.8947,-156.47,87.82,61,20,20.71,US,1667767563
485,san juan,-31.5375,-68.5364,90.05,13,71,4.52,AR,1667767564
486,gallup,35.5281,-108.7426,58.84,35,0,16.11,US,1667767278
487,jiangyou,31.7667,104.7167,61.09,78,100,1.34,CN,1667767564
488,benin,9.5,2.25,75.7,35,6,3.67,BJ,1667767564
489,chumphon,10.3333,98.8333,69.87,98,100,3.2,TH,1667767565
490,ukiah,39.1502,-123.2078,58.37,61,100,4.0,US,1667767565
491,cuitlahuac,18.8167,-96.7167,82.62,68,68,3.2,MX,1667767565
492,oranjemund,-28.55,16.4333,62.82,90,100,5.12,NA,1667767566
493,belmonte,-15.8631,-38.8828,74.16,69,28,13.53,BR,1667767566
494,horsham,51.064,-0.3272,55.44,91,20,6.91,GB,1667767567
495,port hawkesbury,45.6169,-61.3485,70.72,74,0,9.22,CA,1667767567
496,lubao,14.9167,120.55,78.51,85,4,4.5,PH,1667767568
497,roberval,48.5168,-72.2324,68.63,45,75,12.66,CA,1667767480
498,tongliao,43.6125,122.2653,32.95,55,16,7.67,CN,1667767568
499,gari,59.4307,62.3497,21.67,93,69,4.59,RU,1667767568
500,hastings,50.8552,0.5729,57.29,91,3,27.81,GB,1667767569
501,maniitsoq,65.4167,-52.9,18.77,58,0,7.02,GL,1667767569
502,skibbereen,51.55,-9.2667,53.11,87,65,21.9,IE,1667767570
503,gagarin,55.5529,34.9954,32.27,98,100,11.16,RU,1667767570
504,grindavik,63.8424,-22.4338,42.75,70,0,8.05,IS,1667767570
505,nisia floresta,-6.0911,-35.2086,79.18,76,74,8.23,BR,1667767571
506,tiznit,29.5833,-9.5,68.81,45,0,1.36,MA,1667767571
507,nhulunbuy,-12.2333,136.7667,75.81,88,62,0.0,AU,1667767571
508,port augusta,-32.5,137.7667,69.08,38,0,3.15,AU,1667767572
509,mogadishu,2.0371,45.3438,77.94,83,42,12.19,SO,1667767347
510,alekseyevsk,57.8406,108.3492,27.21,97,100,5.39,RU,1667767572
511,iraucuba,-3.7461,-39.7833,79.88,68,89,4.54,BR,1667767573
512,shache,38.4167,77.2406,44.82,35,82,1.66,CN,1667767573
513,bodaybo,57.8506,114.1933,21.34,95,100,4.27,RU,1667767574
514,charagua,-19.8,-63.2167,90.97,18,2,8.5,BO,1667767574
515,lompoc,34.6391,-120.4579,76.01,78,100,6.91,US,1667767575
516,mus,39.0,41.75,42.33,52,1,3.65,TR,1667767575
517,bairiki,1.3292,172.9752,80.6,69,20,2.3,KI,1667767575
518,inhambane,-23.865,35.3833,75.79,89,41,5.3,MZ,1667767576
519,mwinilunga,-11.7358,24.4293,62.47,96,99,0.43,ZM,1667767576
520,great yarmouth,52.6083,1.7305,50.5,83,5,21.25,GB,1667767576
521,koppang,61.5706,11.0555,37.47,89,99,0.98,NO,1667767577
522,taree,-31.9,152.4667,58.06,79,18,2.48,AU,1667767577
523,vanimo,-2.6741,141.3028,77.68,87,100,3.09,PG,1667767577
524,pokosnoye,55.5258,101.0536,27.46,97,100,2.35,RU,1667767578
525,xacmaz,41.4635,48.806,44.24,83,100,11.03,AZ,1667767578
526,deputatskiy,69.3,139.9,-4.02,88,100,21.65,RU,1667767579
527,hay river,60.8156,-115.7999,10.38,79,75,18.41,CA,1667767342
528,olafsvik,64.8945,-23.7142,42.08,64,1,9.6,IS,1667767579
529,yeysk,46.6989,38.2792,40.03,71,8,18.01,RU,1667767465
530,ubatuba,-23.4339,-45.0711,67.46,78,94,2.62,BR,1667767580
531,jacmel,18.2342,-72.5347,84.04,71,22,5.61,HT,1667767580
532,paramonga,-10.6667,-77.8333,67.17,73,24,10.27,PE,1667767580
533,warri,5.5167,5.75,77.77,83,98,3.76,NG,1667767581
534,broken hill,-31.95,141.4333,64.17,57,3,6.91,AU,1667767581
535,sungaipenuh,-2.0833,101.3833,63.75,96,100,1.1,ID,1667767582
536,tommot,58.9564,126.2925,9.84,95,100,5.26,RU,1667767582
537,nuuk,64.1835,-51.7216,23.61,63,20,19.57,GL,1667767582
538,bafoulabe,13.8065,-10.8321,84.42,24,3,3.89,ML,1667767583
539,kuching,1.55,110.3333,75.42,94,20,2.3,MY,1667767344
540,rawson,-43.3002,-65.1023,88.03,19,77,23.87,AR,1667767583
541,presidencia roque saenz pena,-26.7852,-60.4388,90.48,15,16,10.0,AR,1667767584
542,hamburg,53.55,10.0,51.66,67,0,12.66,DE,1667767325
543,charters towers,-20.1,146.2667,71.1,72,9,11.27,AU,1667767584
544,loikaw,19.6742,97.2094,59.7,84,0,3.06,MM,1667767584
545,gibara,21.1097,-76.1317,81.72,72,15,10.6,CU,1667767585
546,savannah bight,16.45,-85.85,82.11,71,69,8.88,HN,1667767585
547,zheleznodorozhnyy,55.7503,38.0042,32.61,86,100,8.41,RU,1667767585
548,port lincoln,-34.7333,135.8667,64.53,71,5,11.36,AU,1667767586
549,idlib,35.9306,36.6339,62.78,39,5,2.75,SY,1667767586
550,wahpeton,46.2652,-96.6059,41.02,36,0,36.82,US,1667767458
551,castelo do piaui,-5.3222,-41.5525,79.93,69,79,5.03,BR,1667767587
552,pachino,36.7186,15.0907,63.9,63,0,3.49,IT,1667767587
553,manado,1.487,124.8455,74.17,100,20,2.3,ID,1667767587
554,asau,46.4333,26.4,52.72,93,100,4.12,RO,1667767588
555,pontes e lacerda,-15.2261,-59.3353,94.53,17,0,3.71,BR,1667767588
556,kampong thum,12.7111,104.8887,72.59,93,100,4.85,KH,1667767588
557,muroto,33.2833,134.15,62.83,64,100,8.81,JP,1667767589
558,nipawin,53.3668,-104.0009,23.04,80,100,19.57,CA,1667767589
559,yar-sale,66.8333,70.8333,24.44,97,100,6.96,RU,1667767590
560,springbok,-29.6643,17.8865,65.12,56,100,6.33,ZA,1667767590
561,lisakovsk,52.5369,62.4936,20.3,94,94,5.68,KZ,1667767590
562,mmabatho,-25.85,25.6333,64.36,88,98,4.61,ZA,1667767591
563,corovode,40.5042,20.2272,56.53,77,46,5.66,AL,1667767591
564,salalah,17.0151,54.0924,80.69,74,40,3.44,OM,1667767591
565,tarbagatay,51.4803,107.3602,15.33,85,84,3.91,RU,1667767592
566,awbari,26.5921,12.7805,62.83,21,0,6.53,LY,1667767397
567,rudbar,30.15,62.6,66.54,47,7,6.17,AF,1667767592
568,dingle,10.9995,122.6711,75.67,93,70,5.93,PH,1667767593
569,predivinsk,57.0669,93.4378,30.25,73,26,11.5,RU,1667767593
